,ITALY_N,SOUTH KOREA_N,LATVIA_N,LITHUANIA_N,POLAND_N,ROMANIA_N,UKRAINE_N,CZECH REPUBLIC_N,ESTONIA_N,BELGIUM_N,CHINA_N,INDIA_N,date
135,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,2015-07-04
136,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,2015-07-05
137,1.0,0.0,1.0,2.0,9.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,2015-07-06
138,1.0,0.0,8.0,7.0,8.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,2015-07-07
139,0.0,1.0,10.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2015-07-08
140,1.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2015-07-09
141,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2015-07-10
142,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2015-07-11
143,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-07-12
144,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2015-07-13
145,1.0,2.0,5.0,2.0,8.0,0.0,8.0,0.0,0.0,3.0,1.0,0.0,2015-07-14
146,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,2015-07-15
147,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,70.0,2.0,0.0,0.0,2015-07-16
148,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,21.0,2.0,3.0,0.0,2015-07-17
149,0.0,0.0,3.0,1.0,23.0,0.0,5.0,0.0,32.0,4.0,1.0,0.0,2015-07-18
150,0.0,1.0,26.0,24.0,4.0,0.0,7.0,0.0,6.0,1.0,1.0,0.0,2015-07-19
151,2.0,0.0,8.0,5.0,4.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,2015-07-20
152,1.0,0.0,3.0,4.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-07-21
153,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2015-07-22
154,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,2015-07-23
155,0.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,26.0,5.0,0.0,0.0,2015-07-24
156,0.0,0.0,2.0,2.0,14.0,0.0,3.0,0.0,65.0,2.0,1.0,0.0,2015-07-25
157,0.0,3.0,6.0,7.0,5.0,0.0,25.0,0.0,44.0,0.0,1.0,0.0,2015-07-26
158,5.0,0.0,2.0,2.0,25.0,0.0,6.0,0.0,4.0,1.0,1.0,0.0,2015-07-27
159,1.0,0.0,24.0,25.0,11.0,0.0,9.0,0.0,4.0,1.0,0.0,0.0,2015-07-28
160,0.0,3.0,13.0,11.0,2.0,0.0,1.0,0.0,9.0,1.0,1.0,0.0,2015-07-29
161,3.0,4.0,2.0,3.0,1.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,2015-07-30
162,5.0,1.0,1.0,0.0,1.0,0.0,108.0,0.0,36.0,1.0,2.0,0.0,2015-07-31
163,0.0,0.0,2.0,3.0,5.0,0.0,10.0,0.0,34.0,1.0,6.0,0.0,2015-08-01
164,1.0,1.0,4.0,9.0,4.0,0.0,12.0,0.0,16.0,1.0,3.0,1.0,2015-08-02
165,2.0,0.0,2.0,6.0,20.0,0.0,34.0,0.0,24.0,5.0,1.0,1.0,2015-08-03
166,0.0,1.0,2.0,2.0,23.0,0.0,22.0,0.0,3.0,1.0,5.0,0.0,2015-08-04
167,0.0,1.0,12.0,11.0,1.0,0.0,3.0,0.0,12.0,0.0,6.0,1.0,2015-08-05
168,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,2015-08-06
169,0.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,104.0,0.0,1.0,0.0,2015-08-07
170,1.0,0.0,3.0,5.0,4.0,0.0,5.0,0.0,19.0,0.0,0.0,0.0,2015-08-08
171,0.0,0.0,5.0,4.0,81.0,0.0,4.0,0.0,20.0,0.0,2.0,0.0,2015-08-09
172,0.0,1.0,2.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,2015-08-10
173,1.0,0.0,3.0,1.0,6.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,2015-08-11
174,0.0,1.0,6.0,8.0,0.0,3.0,1.0,0.0,21.0,0.0,0.0,1.0,2015-08-12
175,4.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,33.0,0.0,0.0,0.0,2015-08-13
176,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,25.0,0.0,1.0,0.0,2015-08-14
177,0.0,0.0,10.0,7.0,2.0,0.0,6.0,0.0,17.0,1.0,0.0,0.0,2015-08-15
178,0.0,0.0,8.0,2.0,3.0,0.0,13.0,0.0,9.0,0.0,4.0,0.0,2015-08-16
179,0.0,0.0,4.0,4.0,1.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,2015-08-17
180,2.0,0.0,4.0,3.0,1.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,2015-08-18
181,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,2015-08-19
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,2015-08-20
183,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,30.0,1.0,0.0,0.0,2015-08-21
184,1.0,0.0,4.0,7.0,3.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,2015-08-22
185,0.0,0.0,5.0,4.0,6.0,0.0,6.0,2.0,22.0,0.0,1.0,0.0,2015-08-23
186,0.0,0.0,8.0,12.0,2.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,2015-08-24
187,0.0,0.0,1.0,3.0,9.0,0.0,3.0,0.0,9.0,0.0,2.0,0.0,2015-08-25
188,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,2015-08-26
189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,2015-08-27
190,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,2015-08-28
191,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2015-08-29
192,0.0,2.0,2.0,1.0,7.0,0.0,2.0,0.0,15.0,3.0,0.0,0.0,2015-08-30
193,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,2015-08-31
194,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,11.0,44.0,0.0,0.0,2015-09-01
195,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,21.0,1.0,0.0,0.0,2015-09-02
196,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2015-09-03
197,3.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,11.0,8.0,0.0,0.0,2015-09-04
198,0.0,0.0,6.0,7.0,4.0,0.0,6.0,0.0,3.0,2.0,6.0,1.0,2015-09-05
199,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,18.0,2.0,4.0,0.0,2015-09-06
200,1.0,1.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,2015-09-07
201,0.0,2.0,1.0,2.0,0.0,0.0,4.0,1.0,7.0,0.0,2.0,0.0,2015-09-08
202,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,1.0,0.0,1.0,2015-09-09
203,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2015-09-10
204,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-09-11
205,0.0,0.0,4.0,8.0,1.0,0.0,4.0,0.0,8.0,2.0,0.0,0.0,2015-09-12
206,0.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2015-09-13
207,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2015-09-14
208,0.0,0.0,0.0,3.0,15.0,0.0,3.0,0.0,1.0,4.0,3.0,0.0,2015-09-15
209,0.0,0.0,0.0,9.0,6.0,0.0,3.0,0.0,9.0,4.0,0.0,0.0,2015-09-16
210,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,2015-09-17
211,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2015-09-18
212,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,2015-09-19
213,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2015-09-20
214,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-09-21
215,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2015-09-22
216,0.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,7.0,2.0,1.0,0.0,2015-09-23
217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2015-09-24
218,0.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,15.0,0.0,1.0,0.0,2015-09-25
219,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2015-09-26
220,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,2015-09-27
221,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2015-09-28
222,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-09-29
